muni_id,muni_name_first,precip_mean_mean,precip_mean_std,precip_min_mean,precip_max_mean,precip_std_mean,precip_anomaly_mean_mean,precip_anomaly_mean_std,precip_anomaly_min_mean,precip_anomaly_max_mean,precip_anomaly_std_mean,soil_mean_mean,soil_mean_std,soil_min_mean,soil_max_mean,soil_std_mean,soil_anomaly_mean_mean,soil_anomaly_mean_std,soil_anomaly_min_mean,soil_anomaly_max_mean,soil_anomaly_std_mean,mean_distance_to_others_first,min_distance_to_others_first,max_distance_to_others_first,centroid_lon,centroid_lat,cluster,cluster_pca,cluster_spatial,cluster_hierarchical,cluster_gmm,cluster_dbscan,cluster_agglom_spatial,muni_norm,cluster_aligned
259,Montenegro,4.366722,9.655968,3.0013466,6.0843606,0.94811046,-1.9053163e-09,9.4864855,-1.8421301,2.1290786,1.1757653,0.4306527,0.05108447,0.42427856,0.4370275,0.0050058304,0.00078480545,0.047513243,-0.0050704377,0.0066399993,0.0045917854,1.8950443161474784,0.1278870180250966,5.8489766870566395,-51.502990032116976,-29.71012954959672,3,5,0,9,0,-1,9,montenegro,5
260,Mormaço,5.1202784,11.559356,4.2738214,6.0485067,0.69284284,1.6851464e-08,11.36618,-1.1232119,1.1871135,0.8790041,0.42849022,0.053468633,0.4244047,0.4325757,0.004085473,-0.0005605054,0.049867753,-0.003964573,0.002843562,0.0034040676,1.5781068779111738,0.1285854520041357,5.015302663178994,-52.66187723244031,-28.69375936964058,1,3,4,0,1,0,7,mormaço,7
261,Morrinhos do Sul,4.8539553,10.814573,3.6423786,6.26618,0.9695146,7.494244e-09,10.629596,-1.6459861,1.7802083,1.2372961,0.38781258,0.029284298,0.38781258,0.38781258,0.0,0.0005299763,0.028699063,0.0005299763,0.0005299763,0.0,2.900754498327569,0.0897002796693812,7.425825096678592,-49.95419942845777,-29.33758963409176,8,8,6,5,5,-1,5,morrinhos do sul,1
262,Morro Redondo,4.2345366,10.033314,3.1094253,5.63879,0.8529051,6.2663736e-09,9.869864,-1.5859897,1.7743248,1.0924398,0.41937307,0.055820845,0.41937307,0.41937307,0.0,0.0004610774,0.049573217,0.0004610774,0.0004610774,0.0,3.0384721864823496,0.1833259207735275,4.926919075781005,-52.6377479754204,-31.637148850258455,3,5,0,9,0,-1,9,morro redondo,2
263,Morro Reuter,4.994571,11.06248,4.0899806,5.95106,0.75508755,-3.387229e-10,10.86961,-1.1761823,1.2187638,0.956745,0.44912305,0.03487434,0.44687212,0.45137405,0.002250958,0.00040858495,0.03370627,-0.0018264772,0.0026436471,0.002235062,2.068879106962828,0.0843082609161109,6.315281746933833,-51.05143991757345,-29.522171406624224,8,8,8,5,5,0,5,morro reuter,1
264,Mostardas,3.7098591,8.343772,1.6710469,7.2082176,1.453171,7.600095e-09,8.204947,-2.9324505,4.044115,1.7410352,0.20676155,0.06588075,0.17223407,0.23178694,0.016802981,0.0014916181,0.055671036,-0.01721249,0.02025916,0.011045901,2.9302840713944662,0.5550937898863705,6.643536586083009,-50.729052753349535,-30.85427811842441,5,4,7,4,4,-1,1,mostardas,9
265,Muçum,4.8569264,10.751883,3.9572287,5.850641,0.7382423,7.6847755e-09,10.57203,-1.1946114,1.2650343,0.93770516,,,,,,,,,,,1.651703108737457,0.0862322082798006,5.61153547693267,-51.81558246917971,-29.140403438986674,1,3,8,0,7,0,7,muçum,5
266,Muitos Capões,5.0407705,10.697964,2.730227,8.577418,1.5463859,1.4692105e-08,10.50924,-3.1633067,4.1326413,1.8445957,0.43738592,0.044385724,0.4259194,0.44786027,0.006844513,-0.0003848639,0.042594485,-0.011507573,0.00990837,0.006689491,2.024845425236919,0.2820635876720382,6.355978930317063,-51.229684531633175,-28.38503666078735,7,6,6,3,9,-1,6,muitos capões,1
267,Muliterno,5.191382,11.3672905,4.2475104,6.242816,0.76986897,-6.1393526e-09,11.174355,-1.243107,1.3209696,0.9691218,0.43677863,0.04551091,0.43383086,0.4397264,0.002947772,-0.00033175643,0.04381958,-0.0031798964,0.0025163833,0.00284814,1.7715643025181291,0.0881285011876072,5.850144394332065,-51.77690469775705,-28.326969740750776,1,3,4,5,7,0,7,muliterno,7
268,Não-Me-Toque,5.2182508,11.692696,3.8210278,6.955682,0.9902809,-2.4642091e-08,11.496451,-1.8585596,2.1447558,1.2214422,0.43218058,0.04945742,0.43008953,0.43427163,0.0020910378,-0.0007112936,0.04661966,-0.0028001647,0.0013775775,0.002088871,1.6269459991085802,0.1119257252794577,5.226299396441049,-52.824921414548854,-28.45939894340798,1,3,4,5,5,0,7,não-me-toque,7
269,Nicolau Vergueiro,5.1567616,11.606361,4.375811,6.003968,0.6707711,-1.1855301e-09,11.415871,-1.0341007,1.0791236,0.8545849,0.42973223,0.051715016,0.42973223,0.42973223,0.0,-8.258442e-05,0.04859485,-8.258442e-05,-8.258442e-05,0.0,1.5928270572744467,0.1045378654992536,5.221579787850035,-52.44836633603843,-28.52078381239782,1,3,4,1,1,0,7,nicolau vergueiro,7
270,Nonoai,5.4312825,12.00511,3.6566055,7.669331,1.2473397,-8.4680724e-10,11.786536,-2.342634,2.7098105,1.5165429,0.42116928,0.059242617,0.41473046,0.42756572,0.0054886015,-0.0014060314,0.05690185,-0.007011802,0.004092208,0.004757642,2.1020788692301493,0.0955485278627735,6.307542633214863,-52.857250729646914,-27.36950157847764,0,0,4,0,3,-1,7,nonoai,3
